"year","orig_st","dest_st","migrants","orig_lon","orig_lat","dest_lon","dest_lat"
"2014","Arkansas","Texas",2848,-92.4392611425191,34.8997389966697,-99.3506890602611,31.4844589949927
"2014","Arkansas","Washington",88,-92.4392611425191,34.8997389966697,-120.446851879112,47.3809630731646
"2014","California","Alabama",317,-119.610695847661,37.2460727464335,-86.8283670868833,32.7898260528563
"2014","California","Arizona",17281,-119.610695847661,37.2460727464335,-111.664407332717,34.2931046167216
"2014","California","Arkansas",401,-119.610695847661,37.2460727464335,-92.4392611425191,34.8997389966697
"2014","California","Colorado",7312,-119.610695847661,37.2460727464335,-105.547814568319,38.9985455410908
"2014","California","Connecticut",946,-119.610695847661,37.2460727464335,-72.7256393618199,41.62037081521
"2014","California","Delaware",112,-119.610695847661,37.2460727464335,-75.5004022731314,38.9870085954116
"2014","California","District of Columbia",1301,-119.610695847661,37.2460727464335,-77.0162938383666,38.9047339354987
"2014","California","Florida",8583,-119.610695847661,37.2460727464335,-82.4974657454463,28.6284396330427
"2014","California","Georgia",3636,-119.610695847661,37.2460727464335,-83.4463379561302,32.6492228432086
"2014","California","Idaho",1999,-119.610695847661,37.2460727464335,-114.659395908676,44.3891097471493
"2014","California","Illinois",5096,-119.610695847661,37.2460727464335,-89.1984091644024,40.0650078281546
"2014","California","Indiana",804,-119.610695847661,37.2460727464335,-86.2756558262557,39.9080706873945
"2014","California","Iowa",210,-119.610695847661,37.2460727464335,-93.5000575090239,42.0746193426519
"2014","California","Kansas",674,-119.610695847661,37.2460727464335,-98.380204804846,38.484701493662
"2014","California","Kentucky",405,-119.610695847661,37.2460727464335,-85.2904209349879,37.5266323075816
"2014","California","Louisiana",722,-119.610695847661,37.2460727464335,-91.985655837854,31.0584013742724
"2014","California","Maine",75,-119.610695847661,37.2460727464335,-69.2266472965953,45.3714242098098
"2014","California","Maryland",2184,-119.610695847661,37.2460727464335,-76.7724523866689,39.036914473022
"2014","California","Massachusetts",3482,-119.610695847661,37.2460727464335,-71.7986385975184,42.2532937700256
"2014","California","Michigan",1873,-119.610695847661,37.2460727464335,-85.4372224103963,44.3506926780001
"2014","California","Minnesota",1559,-119.610695847661,37.2460727464335,-94.3090306036759,46.3164900273599
"2014","California","Mississippi",150,-119.610695847661,37.2460727464335,-89.6652080477112,32.7508606107848
"2014","California","Missouri",1232,-119.610695847661,37.2460727464335,-92.4774033594091,38.3676061825105
"2014","California","Montana",360,-119.610695847661,37.2460727464335,-109.645131233126,47.0334630331999
"2014","California","Nebraska",526,-119.610695847661,37.2460727464335,-99.8108000056133,41.5271419277104
"2014","California","Nevada",20695,-119.610695847661,37.2460727464335,-116.65521221328,39.356237411394
"2014","California","New Hampshire",114,-119.610695847661,37.2460727464335,-71.5775933046157,43.6856228425331
"2014","California","New Jersey",2154,-119.610695847661,37.2460727464335,-74.660776391915,40.1844420259893
"2014","California","New Mexico",1316,-119.610695847661,37.2460727464335,-106.108378766226,34.4213651858589
"2014","California","New York",9956,-119.610695847661,37.2460727464335,-75.5031161972462,42.9403814867725
"2014","California","North Carolina",3560,-119.610695847661,37.2460727464335,-79.3723769363719,35.5415271209276
"2014","California","North Dakota",107,-119.610695847661,37.2460727464335,-100.469310938139,47.4463307558844
"2014","California","Ohio",1673,-119.610695847661,37.2460727464335,-82.7900570340388,40.2914443901137
"2014","California","Oklahoma",1002,-119.610695847661,37.2460727464335,-97.5082848159072,35.5834794318336
